refund_reason,refund_count,refund_amount,avg_refund_amount,count_share,amount_share
价格/优惠规则看不懂,1978,246415.39,124.57805358948434,0.45586540677575477,0.4476857464144002
优惠券未领到/不满足门槛,810,103334.42,127.57335802469136,0.1866789582853192,0.18773724704450936
拍错/改变主意/重复下单,755,97825.5,129.5701986754967,0.17400322654989628,0.17772867995729447
地址/收件信息需修改,401,52433.14,130.7559600997506,0.09241760774371975,0.09526015975605558
忘记使用优惠/凑单重拍,309,40304.5,130.43527508090614,0.07121456556810325,0.07322493195883256
其他,86,10107.5,117.52906976744185,0.01982023507720673,0.01836323486890794
